service_date,day_type,bus,rail_boardings,total_rides
2016-09-19,W,884989,787408,1672397
2016-09-26,WWWWAUW,5321226,4742516,10063742
2016-10-03,WWWWAUW,5203831,5093466,10297297
2016-10-10,WWWWAUW,5340145,4968338,10308483
2016-10-17,WWWWAUW,5336474,4942558,10279032
2016-10-24,WWWWAUW,5265177,5195417,10460594
2016-10-31,WWWWAUW,5346613,5418289,10764902
2016-11-07,WWWWAUW,5037106,4725988,9763094
2016-11-14,WWWWAUW,5127520,4776705,9904225
2016-11-21,WWUWAUW,3848061,3418546,7266607
2016-11-28,WWWWAUW,5184581,4604203,9788784
2016-12-05,WWWWAUW,4858032,4365235,9223267
2016-12-12,WWWWAUW,4248872,3972625,8221497
2016-12-19,WWWWAUU,3923543,3163702,7087245
2016-12-26,WWWWAUU,3491998,3054186,6546184
2017-01-02,WWWWAUW,3964524,3777418,7741942
2017-01-09,WWWWAUW,4370790,3917656,8288446
2017-01-16,WWWWAUW,4925489,4533214,9458703
2017-01-23,WWWWAUW,4832082,4324447,9156529
2017-01-30,WWWWAUW,4975706,4286317,9262023
2017-02-06,WWWWAUW,4994937,4323621,9318558
2017-02-13,WWWWAUW,4903656,4299233,9202889
2017-02-20,WWWWAUW,5030910,4357793,9388703
2017-02-27,WWWWAUW,5056312,4347725,9404037
2017-03-06,WWWWAUW,4937684,4471870,9409554
2017-03-13,WWWWAUW,4814000,4365633,9179633
2017-03-20,WWWWAUW,4858135,4221489,9079624
2017-03-27,WWWWAUW,4995744,4446098,9441842
2017-04-03,WWWWAUW,4809045,4505830,9314875
2017-04-10,WWWWAUW,4563579,4385616,8949195
2017-04-17,WWWWAUW,4973257,4576373,9549630
2017-04-24,WWWWAUW,4897196,4390129,9287325
2017-05-01,WWWWAUW,5117728,4600531,9718259
2017-05-08,WWWWAUW,4978626,4427328,9405954
2017-05-15,WWWWAUW,4895850,4525452,9421302
2017-05-22,WWWWAUU,4464000,4127454,8591454
2017-05-29,WWWWAUW,5114652,4682861,9797513
2017-06-05,WWWWAUW,5087506,4961092,10048598
2017-06-12,WWWWAUW,4851733,4521175,9372908
2017-06-19,WWWWAUW,4655972,4768209,9424181
2017-06-26,WWWWAUW,4579254,4420603,8999857
2017-07-03,UWWWAUW,4296388,4305492,8601880
2017-07-10,WWWWAUW,4625191,4563212,9188403
2017-07-17,WWWWAUW,4606364,4603647,9210011
2017-07-24,WWWWAUW,4674944,4555894,9230838
2017-07-31,WWWWAUW,4670949,4928522,9599471
2017-08-07,WWWWAUW,4627291,4515763,9143054
2017-08-14,WWWWAUW,4592279,4483331,9075610
2017-08-21,WWWWAUW,4611350,4428351,9039701
2017-08-28,WWWWAUU,4508532,4308485,8817017
2017-09-04,WWWWAUW,5221775,4791760,10013535
2017-09-11,WWWWAUW,5276041,4977117,10253158
2017-09-18,WWWWAUW,5200988,4734065,9935053
2017-09-25,WWWWAUW,5332097,4821299,10153396
2017-10-02,WWWWAUW,5112305,4975912,10088217
2017-10-09,WWWWAUW,5081260,4727420,9808680
2017-10-16,WWWWAUW,5178261,4848166,10026427
2017-10-23,WWWWAUW,5059971,4636417,9696388
2017-10-30,WWWWAUW,5081790,4568603,9650393
2017-11-06,WWWWAUW,4998231,4592584,9590815
2017-11-13,WWWWAUW,4983547,4611381,9594928
2017-11-20,WWUWAUW,3872052,3377294,7249346
2017-11-27,WWWWAUW,5185959,4612373,9798332
2017-12-04,WWWWAUW,4836103,4368876,9204979
2017-12-11,WWWWAUW,4775842,4239834,9015676
2017-12-18,WWWWAUU,3986578,3276248,7262826
2017-12-25,WWWWAUU,2736775,2375084,5111859
2018-01-01,WWWWAUW,3710825,3448464,7159289
2018-01-08,WWWWAUW,4215058,3707481,7922539
2018-01-15,WWWWAUW,4675541,4267233,8942774
2018-01-22,WWWWAUW,4774353,4285914,9060267
2018-01-29,WWWWAUW,4597400,4087424,8684824
2018-02-05,WWWWAUW,4302670,3943768,8246438
2018-02-12,WWWWAUW,4656111,4178957,8835068
2018-02-19,WWWWAUW,4906962,4321071,9228033
2018-02-26,WWWWAUW,4975109,4298457,9273566
2018-03-05,WWWWAUW,4876023,4297987,9174010
2018-03-12,WWWWAUW,4922767,4610055,9532822
2018-03-19,WWWWAUW,4663111,4204217,8867328
2018-03-26,WWWWAUW,4288457,3950188,8238645
2018-04-02,WWWWAUW,4824975,4330122,9155097
2018-04-09,WWWWAUW,4704313,4348887,9053200
2018-04-16,WWWWAUW,4815290,4372494,9187784
2018-04-23,WWWWAUW,4968469,4523818,9492287
2018-04-30,WWWWAUW,5069314,4511821,9581135
2018-05-07,WWWWAUW,4791121,4430074,9221195
2018-05-14,WWWWAUW,4718873,4289760,9008633
2018-05-21,WWWWAUU,4478768,4199591,8678359
2018-05-28,WWWWAUW,4962029,4466315,9428344
2018-06-04,WWWWAUW,4825393,4660920,9486313
2018-06-11,WWWWAUW,4729886,4489027,9218913
2018-06-18,WWWWAUW,4419534,4582411,9001945
2018-06-25,WWWWAUW,4511291,4452527,8963818
2018-07-02,WUWWAUW,4133560,3889124,8022684
2018-07-09,WWWWAUW,4630479,4591504,9221983
2018-07-16,WWWWAUW,4576572,4616881,9193453
