Year,Month,Total Counts,Classic Bike Count,Electric Bike Count,Docked Bike Count,Electric Scooter Count,Casual User Count,Member User Count,Date
2020.0,4,84776.0,,,84776.0,,23628.0,61148.0,2020-04-01
2020.0,5,200274.0,,,200274.0,,86909.0,113365.0,2020-05-01
2020.0,6,343005.0,,,343005.0,,154718.0,188287.0,2020-06-01
2020.0,7,551480.0,,1935.0,549545.0,,269296.0,282184.0,2020-07-01
2020.0,8,622361.0,,66195.0,556166.0,,289661.0,332700.0,2020-08-01
2020.0,9,532958.0,,128352.0,404606.0,,230692.0,302266.0,2020-09-01
2020.0,10,388653.0,,152176.0,236477.0,,145012.0,243641.0,2020-10-01
2020.0,11,259716.0,,108134.0,151582.0,,88099.0,171617.0,2020-11-01
2020.0,12,131573.0,70616.0,47953.0,13004.0,,30080.0,101493.0,2020-12-01
2021.0,1,96834.0,61700.0,33028.0,2106.0,,18117.0,78717.0,2021-01-01
2021.0,2,49622.0,35012.0,13339.0,1271.0,,10131.0,39491.0,2021-02-01
2021.0,3,228496.0,152545.0,60294.0,15657.0,,84033.0,144463.0,2021-03-01
2021.0,4,337230.0,214619.0,97897.0,24714.0,,136601.0,200629.0,2021-04-01
2021.0,5,531633.0,309093.0,179187.0,43353.0,,256916.0,274717.0,2021-05-01
2021.0,6,729595.0,435020.0,242859.0,51716.0,,370681.0,358914.0,2021-06-01
2021.0,7,822410.0,506909.0,257803.0,57698.0,,442056.0,380354.0,2021-07-01
2021.0,8,804352.0,503033.0,256254.0,45065.0,,412671.0,391681.0,2021-08-01
2021.0,9,756147.0,462284.0,258526.0,35337.0,,363890.0,392257.0,2021-09-01
2021.0,10,631226.0,316139.0,292203.0,22884.0,,257242.0,373984.0,2021-10-01
2021.0,11,359978.0,154039.0,198325.0,7614.0,,106929.0,253049.0,2021-11-01
2021.0,12,247540.0,100635.0,141977.0,4928.0,,69738.0,177802.0,2021-12-01
2022.0,1,103770.0,55067.0,47742.0,961.0,,18520.0,85250.0,2022-01-01
2022.0,2,115609.0,59414.0,54834.0,1361.0,,21416.0,94193.0,2022-02-01
2022.0,3,284042.0,134439.0,141245.0,8358.0,,89882.0,194160.0,2022-03-01
2022.0,4,371249.0,166712.0,192421.0,12116.0,,126417.0,244832.0,2022-04-01
2022.0,5,634858.0,324046.0,284403.0,26409.0,,280415.0,354443.0,2022-05-01
2022.0,6,769204.0,406660.0,331904.0,30640.0,,369051.0,400153.0,2022-06-01
2022.0,7,823488.0,373173.0,419260.0,31055.0,,406055.0,417433.0,2022-07-01
2022.0,8,785932.0,344050.0,415559.0,26323.0,,358924.0,427008.0,2022-08-01
2022.0,9,701339.0,306142.0,375371.0,19826.0,,296697.0,404642.0,2022-09-01
2022.0,10,558685.0,213560.0,332511.0,12614.0,,208989.0,349696.0,2022-10-01
2022.0,11,337735.0,144601.0,187248.0,5886.0,,100772.0,236963.0,2022-11-01
2022.0,12,181806.0,73350.0,106531.0,1925.0,,44894.0,136912.0,2022-12-01
2023.0,1,190301.0,90294.0,98269.0,1738.0,,40008.0,150293.0,2023-01-01
2023.0,2,190445.0,89888.0,98362.0,2195.0,,43016.0,147429.0,2023-02-01
2023.0,3,258678.0,107083.0,148575.0,3020.0,,62201.0,196477.0,2023-03-01
2023.0,4,426590.0,169738.0,247965.0,8887.0,,147285.0,279305.0,2023-04-01
2023.0,5,604827.0,269895.0,321840.0,13092.0,,234181.0,370646.0,2023-05-01
2023.0,6,719618.0,313546.0,391098.0,14974.0,,301230.0,418388.0,2023-06-01
2023.0,7,767650.0,362130.0,387096.0,18424.0,,331358.0,436292.0,2023-07-01
2023.0,8,771693.0,396961.0,358775.0,15957.0,,311130.0,460563.0,2023-08-01
2023.0,9,666371.0,347372.0,318999.0,,,261635.0,404736.0,2023-09-01
2023.0,10,537113.0,268363.0,268750.0,,,177071.0,360042.0,2023-10-01
2023.0,11,362518.0,176157.0,186361.0,,,98392.0,264126.0,2023-11-01
2023.0,12,224073.0,104584.0,119489.0,,,51672.0,172401.0,2023-12-01
2024.0,1,144873.0,76525.0,68348.0,,,24460.0,120413.0,2024-01-01
2024.0,2,223164.0,140314.0,82850.0,,,47163.0,176001.0,2024-02-01
2024.0,3,301687.0,148584.0,153103.0,,,82550.0,219137.0,2024-03-01
2024.0,4,415025.0,188403.0,226622.0,,,131810.0,283215.0,2024-04-01
2024.0,5,609704.0,306915.0,302789.0,,,231150.0,378554.0,2024-05-01
2024.0,6,710747.0,337749.0,372998.0,,,301169.0,409578.0,2024-06-01
2024.0,7,749004.0,370561.0,378443.0,,,320581.0,428423.0,2024-07-01
2024.0,8,755804.0,352997.0,402725.0,,7.0,318398.0,437406.0,2024-08-01
2024.0,9,820867.0,314339.0,362273.0,,19900.0,346494.0,474373.0,2024-09-01
2024.0,10,616246.0,280597.0,335649.0,,,216429.0,399817.0,2024-10-01
2024.0,11,335042.0,148109.0,186933.0,,,93062.0,241980.0,2024-11-01
2024.0,12,178359.0,70518.0,107841.0,,,38369.0,139990.0,2024-12-01
