Week,Total Counts,Casual User Count,Member User Count,Classic Bike Count,Electric Bike Count
2016-09-26,14961,4658,10302,0,0
2016-10-03,88411,19247,69164,0,0
2016-10-10,83531,18678,64849,0,0
2016-10-17,82545,15590,66954,0,0
2016-10-24,69579,12419,57159,0,0
2016-10-31,84045,18838,65203,0,0
2016-11-07,64917,8863,56053,0,0
2016-11-14,54224,3723,50501,0,0
2016-11-21,27784,2730,25053,0,0
2016-11-28,39020,1870,37149,0,0
2016-12-05,28201,505,27696,0,0
2016-12-12,14732,147,14585,0,0
2016-12-19,15774,447,15327,0,0
2016-12-26,17835,1911,15924,0,0
2017-01-02,17722,367,17355,0,0
2017-01-09,22049,581,21468,0,0
2017-01-16,31308,3155,28152,0,0
2017-01-23,29574,707,28867,0,0
2017-01-30,28125,807,27318,0,0
2017-02-06,32039,1912,30127,0,0
2017-02-13,58071,14839,43231,0,0
2017-02-20,44670,5665,39005,0,0
2017-02-27,35847,2620,33225,0,0
2017-03-06,37837,2492,35345,0,0
2017-03-13,25747,2208,23539,0,0
2017-03-20,40335,4539,35796,0,0
2017-03-27,39812,5419,34393,0,0
2017-04-03,54118,13895,40223,0,0
2017-04-10,68898,21145,47753,0,0
2017-04-17,74228,14841,59387,0,0
2017-04-24,58246,7118,51128,0,0
2017-05-01,56490,8235,48255,0,0
2017-05-08,77226,18491,58735,0,0
2017-05-15,81183,16552,64631,0,0
2017-05-22,83718,25392,58326,0,0
2017-05-29,117968,37236,80732,0,0
2017-06-05,122248,34223,88025,0,0
2017-06-12,108542,27651,80891,0,0
2017-06-19,122582,33209,89373,0,0
2017-06-26,120764,35332,85432,0,0
2017-07-03,135968,51365,84603,0,0
2017-07-10,117908,31916,85992,0,0
2017-07-17,119322,32902,86420,0,0
2017-07-24,132969,36920,96049,0,0
2017-07-31,125947,34893,91054,0,0
2017-08-07,133698,38931,94764,0,0
2017-08-14,128576,37448,91128,0,0
2017-08-21,122492,30760,91732,0,0
2017-08-28,117944,32080,85864,0,0
2017-09-04,105368,25564,79804,0,0
2017-09-11,116912,26223,90689,0,0
2017-09-18,115004,25466,89538,0,0
2017-09-25,109103,19917,89186,0,0
2017-10-02,99988,19472,80516,0,0
2017-10-09,75030,12639,62391,0,0
2017-10-16,96007,17281,78726,0,0
2017-10-23,52639,4217,48422,0,0
2017-10-30,48813,2785,46028,0,0
2017-11-06,45126,1928,43198,0,0
2017-11-13,42267,1608,40659,0,0
2017-11-20,34114,4936,29178,0,0
2017-11-27,59557,5633,53924,0,0
2017-12-04,35933,1025,34908,0,0
2017-12-11,31815,1010,30805,0,0
2017-12-18,29714,876,28838,0,0
2017-12-25,5726,106,5620,0,0
2018-01-01,11319,187,11132,0,0
2018-01-08,25341,406,24935,0,0
2018-01-15,23204,953,22251,0,0
2018-01-22,34742,1735,33007,0,0
2018-01-29,25620,381,25239,0,0
2018-02-05,13241,116,13125,0,0
2018-02-12,25565,629,24936,0,0
2018-02-19,29085,1324,27761,0,0
2018-02-26,43839,3255,40584,0,0
2018-03-05,35156,2019,33137,0,0
2018-03-12,43545,4642,38903,0,0
2018-03-19,38779,2269,36510,0,0
2018-03-26,40059,5078,34981,0,0
2018-04-02,35203,2413,32790,0,0
2018-04-09,40411,2743,37668,0,0
2018-04-16,46493,5723,40770,0,0
2018-04-23,61668,8070,53598,0,0
2018-04-30,91894,20651,71243,0,0
2018-05-07,75768,12419,63349,0,0
2018-05-14,74799,11595,63204,0,0
2018-05-21,106424,31152,75272,0,0
2018-05-28,111821,30076,81745,0,0
2018-06-04,102717,20854,81863,0,0
2018-06-11,113405,27343,86062,0,0
2018-06-18,98680,24585,74095,0,0
2018-06-25,109700,25786,83914,0,0
2018-07-02,123449,42296,81153,0,0
2018-07-09,119926,29684,90242,0,0
2018-07-16,115003,27081,87922,0,0
2018-07-23,137421,39023,98398,0,0
2018-07-30,129352,35341,94011,0,0
2018-08-06,124663,33386,91277,0,0
2018-08-13,124794,32783,92011,0,0
2018-08-20,111419,23167,88252,0,0
2018-08-27,103023,24436,78587,0,0
2018-09-03,86010,17248,68762,0,0
2018-09-10,122342,27011,95331,0,0
2018-09-17,111754,21965,89789,0,0
2018-09-24,92762,15095,77667,0,0
2018-10-01,87341,12906,74435,0,0
2018-10-08,83112,13529,69583,0,0
2018-10-15,68726,7362,61364,0,0
2018-10-22,70512,7618,62894,0,0
2018-10-29,66161,5816,60345,0,0
2018-11-05,49314,2854,46460,0,0
2018-11-12,39923,1831,38092,0,0
2018-11-19,26795,2329,24466,0,0
2018-11-26,26085,835,25250,0,0
2018-12-03,34018,1334,32684,0,0
2018-12-10,38326,2162,36164,0,0
2018-12-17,36220,1955,34265,0,0
2018-12-24,14971,1623,13348,0,0
2018-12-31,28931,3062,25869,0,0
2019-01-07,30930,906,30024,0,0
2019-01-14,28005,500,27505,0,0
2019-01-21,13994,182,13812,0,0
2019-01-28,8871,358,8513,0,0
2019-02-04,26529,712,25817,0,0
2019-02-11,22820,620,22200,0,0
2019-02-18,23143,707,22436,0,0
2019-02-25,26498,785,25713,0,0
2019-03-04,24766,921,23845,0,0
2019-03-11,41588,4476,37112,0,0
2019-03-18,43978,4921,39057,0,0
2019-03-25,46198,5095,41103,0,0
2019-04-01,55500,8937,46563,0,0
2019-04-08,59844,9415,50429,0,0
2019-04-15,67656,15763,51893,0,0
2019-04-22,72366,13189,59177,0,0
2019-04-29,62856,15175,47681,0,0
2019-05-06,62819,8525,54294,0,0
2019-05-13,87142,16956,70186,0,0
2019-05-20,96233,27128,69105,0,0
2019-05-27,95817,25181,70636,0,0
2019-06-03,111641,28049,83592,0,0
2019-06-10,99354,22704,76650,0,0
2019-06-17,108973,29659,79314,0,0
2019-06-24,127962,38905,89057,0,0
2019-07-01,118405,45047,73358,0,0
2019-07-08,131931,42463,89468,0,0
2019-07-15,109970,30553,79417,0,0
2019-07-22,140344,44761,95583,0,0
2019-07-29,142356,47169,95187,0,0
2019-08-05,143892,48400,95492,0,0
2019-08-12,119867,34853,85014,0,0
2019-08-19,135671,40966,94705,0,0
2019-08-26,121814,38435,83379,0,0
2019-09-02,117199,35728,81471,0,0
2019-09-09,121613,31292,90321,0,0
2019-09-16,116698,27443,89255,0,0
2019-09-23,102702,21040,81662,0,0
2019-09-30,100628,21465,79163,0,0
2019-10-07,95065,19142,75923,0,0
2019-10-14,92071,20599,71472,0,0
2019-10-21,72827,10983,61844,0,0
2019-10-28,48130,5724,42406,0,0
2019-11-04,54973,5861,49112,0,0
2019-11-11,29227,2378,26849,0,0
2019-11-18,48260,4248,44012,0,0
2019-11-25,27924,3133,24791,0,0
2019-12-02,46994,3821,43173,0,0
