Total Counts,Casual User Count,Member User Count,Classic Bike Count,Electric Bike Count,bus,rail_boardings,total_rides,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
14961,4658,10302,0,0,5293780,4754018,10047798,117.3,97.8,138.2,77.9,0.0,1620.0,132.5,0.0,7107.6,0.0
88411,19247,69164,0,0,5401326,5160414,10561740,124.1,92.80000000000001,153.79999999999998,22.1,0.0,824.0,83.3,0.0,7135.0,0.0
83531,18678,64849,0,0,5164349,4885979,10050328,112.2,75.5,145.5,22.1,0.0,1391.0,99.1,0.0,7138.1,0.0
82545,15590,66954,0,0,5357349,4954257,10311606,109.7,71.0,144.5,0.0,0.0,1599.0,125.0,0.0,7098.7,0.0
69579,12419,57159,0,0,5274297,5177490,10451787,82.8,53.4,103.39999999999999,31.200000000000003,0.0,1046.0,107.5,0.0,7152.6,0.0
84045,18838,65203,0,0,5320352,5405956,10726308,103.5,73.4,138.4,14.0,0.0,781.0,71.1,0.0,7154.5,0.0
64917,8863,56053,0,0,5061169,4760427,9821596,74.39999999999999,44.4,106.1,0.3,0.0,1470.0,113.9,0.0,7167.7,0.0
54224,3723,50501,0,0,5145793,4793930,9939723,60.9,22.1,93.8,2.8,0.0,1438.0,117.0,0.0,7105.5,0.0
27784,2730,25053,0,0,3891484,3455936,7347420,26.1,3.999999999999999,48.4,10.200000000000001,0.0,1452.0,90.6,0.0,7160.400000000001,0.0
39020,1870,37149,0,0,5144488,4589843,9734331,32.6,17.8,48.4,40.4,127.0,1399.0,116.4,0.0,7080.9,0.0
28201,505,27696,0,0,4912306,4397674,9309980,-18.0,-31.1,-4.3999999999999995,12.0,279.0,1669.0,122.4,0.0,7158.7,0.0
14732,147,14585,0,0,4385578,4068350,8453928,-65.9,-97.3,-35.599999999999994,4.9,814.0,1500.0,118.5,0.0,7157.6,0.0
15774,447,15327,0,0,4193710,3478410,7672120,-14.799999999999999,-38.9,8.899999999999999,2.8,584.0,1204.0,110.3,0.0,7183.200000000001,0.0
17835,1911,15924,0,0,3500322,3031700,6532022,10.299999999999999,-22.2,35.6,6.6,0.0,1622.0,143.2,0.0,7105.6,0.0
17722,367,17355,0,0,3555250,3399440,6954690,-53.6,-83.39999999999999,-31.0,6.6,0.0,1776.0,118.8,0.0,7168.0,0.0
22049,581,21468,0,0,4665138,4175393,8840531,-8.399999999999999,-35.7,21.099999999999998,22.099999999999998,0.0,1277.0,124.3,0.0,7166.9,0.0
31308,3155,28152,0,0,4594530,4244175,8838705,28.0,12.8,47.800000000000004,52.3,0.0,938.0,87.5,0.0,7077.3,0.0
29574,707,28867,0,0,4843818,4333235,9177053,4.9,-4.3999999999999995,15.6,2.8,0.0,2018.0,131.0,0.0,7064.9,0.0
28125,807,27318,0,0,4943408,4287749,9231157,-13.2,-40.5,14.4,0.5,0.0,1826.0,136.1,0.0,7141.9,0.0
32039,1912,30127,0,0,5011242,4335350,9346592,12.600000000000001,-22.9,48.9,14.0,0.0,1560.0,132.5,0.0,7098.799999999999,0.0
58071,14839,43231,0,0,5101927,4443540,9545467,44.599999999999994,6.0,85.5,0.0,0.0,1162.0,100.5,0.0,7087.9,0.0
44670,5665,39005,0,0,4817432,4194683,9012115,56.9,25.099999999999998,91.0,11.0,0.0,1406.0,130.0,0.0,7073.3,0.0
35847,2620,33225,0,0,5070442,4364846,9435288,30.799999999999997,-1.0999999999999992,63.9,46.5,0.0,1585.0,132.7,0.0,7148.4,0.0
37837,2492,35345,0,0,4999392,4471699,9471091,27.1,3.8000000000000007,55.6,6.7,0.0,1047.0,157.8,0.0,7154.2,0.0
25747,2208,23539,0,0,4772972,4378991,9151963,6.1000000000000005,-22.2,32.8,12.3,254.0,1451.0,121.10000000000001,0.0,7172.799999999999,0.0
40335,4539,35796,0,0,4835067,4188101,9023168,52.6,22.200000000000003,91.2,46.2,0.0,703.0,133.9,0.0,7144.1,0.0
39812,5419,34393,0,0,4980606,4426809,9407415,49.2,23.5,70.5,62.7,0.0,358.0,125.5,0.0,7115.1,0.0
54118,13895,40223,0,0,4954100,4540723,9494823,69.5,43.9,101.0,51.3,0.0,1480.0,153.0,0.0,7066.8,0.0
68898,21145,47753,0,0,4449701,4355598,8805299,101.5,61.199999999999996,140.7,37.0,0.0,824.0,123.9,0.0,7133.3,0.0
74228,14841,59387,0,0,4952433,4578160,9530593,95.1,48.9,136.7,2.8,0.0,824.0,112.6,0.0,7127.099999999999,0.0
58246,7118,51128,0,0,4880082,4378931,9259013,91.3,59.6,125.0,99.10000000000001,0.0,696.0,140.6,0.0,7057.4,0.0
56490,8235,48255,0,0,5135831,4625381,9761212,65.6,40.0,92.1,13.4,0.0,994.0,148.7,0.0,7078.1,0.0
77226,18491,58735,0,0,5002704,4440433,9443137,93.60000000000001,58.3,134.5,33.9,0.0,263.0,88.0,0.0,7099.3,0.0
81183,16552,64631,0,0,4883706,4491077,9374783,131.2,86.1,166.7,31.7,0.0,1099.0,161.5,0.0,7080.8,0.0
83718,25392,58326,0,0,4906163,4535270,9441433,114.1,86.0,150.0,33.8,0.0,1143.0,104.7,0.0,7054.9,0.0
117968,37236,80732,0,0,4650984,4250841,8901825,151.8,107.1,190.5,0.0,0.0,1351.0,97.7,0.0,7094.0,0.0
122248,34223,88025,0,0,5117715,4975790,10093505,158.2,116.7,201.1,1.8,0.0,700.0,133.1,0.0,7087.3,0.0
108542,27651,80891,0,0,4904408,4535329,9439737,182.0,149.4,219.5,11.2,0.0,1386.0,116.5,0.0,7058.1,0.0
122582,33209,89373,0,0,4673420,4785664,9459084,150.9,117.2,185.6,28.400000000000002,0.0,1649.0,122.4,0.0,7081.2,0.0
120764,35332,85432,0,0,4647846,4599045,9246891,155.0,118.3,193.8,14.3,0.0,1649.0,111.8,0.0,7093.6,0.0
135968,51365,84603,0,0,4246809,4153989,8400798,174.9,137.8,207.9,0.0,0.0,744.0,93.1,0.0,7105.6,0.0
117908,31916,85992,0,0,4590016,4517333,9107349,167.7,137.2,194.4,34.599999999999994,0.0,1011.0,98.3,0.0,7097.4,0.0
119322,32902,86420,0,0,4616057,4579144,9195201,177.3,141.1,216.8,77.0,0.0,1163.0,80.2,0.0,7093.7,0.0
132969,36920,96049,0,0,4687230,4614057,9301287,164.6,138.3,189.5,1.8,0.0,404.0,112.8,0.0,7118.6,0.0
125947,34893,91054,0,0,4670144,4931709,9601853,159.1,126.1,191.7,24.2,0.0,1058.0,86.5,0.0,7109.6,0.0
133698,38931,94764,0,0,4638548,4503238,9141786,155.6,116.7,188.29999999999998,0.0,0.0,863.0,79.2,0.0,7122.2,0.0
128576,37448,91128,0,0,4606877,4524619,9131496,147.2,138.8,207.79999999999998,7.1,0.0,830.0,72.6,0.0,6073.3,0.0
122492,30760,91732,0,0,4557194,4363448,8920642,149.6,115.1,182.3,11.5,0.0,1459.0,97.2,0.0,7126.6,0.0
117944,32080,85864,0,0,4895224,4722348,9617572,140.9,109.4,173.3,9.4,0.0,689.0,87.5,0.0,7119.9,0.0
105368,25564,79804,0,0,4734972,4350540,9085512,123.19999999999999,93.4,156.6,0.0,0.0,1373.0,109.1,0.0,7130.7,0.0
116912,26223,90689,0,0,5271828,4972418,10244246,153.0,116.1,194.4,1.3,0.0,933.0,81.3,0.0,7105.2,0.0
115004,25466,89538,0,0,5206066,4738848,9944914,182.8,146.7,222.2,4.8,0.0,932.0,78.9,0.0,7104.6,0.0
109103,19917,89186,0,0,5315147,4821419,10136566,143.3,111.1,175.0,0.0,0.0,1607.0,109.9,0.0,7138.3,0.0
99988,19472,80516,0,0,5277758,4991327,10269085,143.0,112.2,176.6,27.9,0.0,1101.0,111.5,0.0,7113.2,0.0
75030,12639,62391,0,0,4926427,4703088,9629515,116.4,93.4,142.2,180.6,0.0,788.0,111.8,0.0,7116.1,0.0
96007,17281,78726,0,0,5242740,4874004,10116744,114.6,76.7,155.7,19.3,0.0,1371.0,122.5,0.0,7137.4,0.0
52639,4217,48422,0,0,5025188,4633176,9658364,51.199999999999996,28.4,74.9,43.8,0.0,1776.0,120.5,0.0,7061.8,0.0
48813,2785,46028,0,0,5052795,4549660,9602455,50.7,32.2,66.2,17.2,0.0,1066.0,107.3,0.0,7107.8,0.0
45126,1928,43198,0,0,5018330,4607280,9625610,16.4,-12.8,40.5,3.0,0.0,764.0,99.3,0.0,7192.599999999999,0.0
42267,1608,40659,0,0,4989749,4622307,9612056,30.799999999999997,5.0,51.7,41.2,0.0,1806.0,125.3,0.0,7124.5,0.0
34114,4936,29178,0,0,3873148,3397530,7270678,33.0,-6.700000000000001,68.9,1.5,0.0,1719.0,125.6,0.0,7108.2,0.0
59557,5633,53924,0,0,5169846,4599368,9769214,56.6,16.1,90.6,0.0,0.0,1182.0,89.0,0.0,7138.7,0.0
35933,1025,34908,0,0,4883611,4402663,9286274,5.1,-26.1,31.6,1.1,0.0,1782.0,174.3,0.0,7102.1,0.0
31815,1010,30805,0,0,4799570,4270708,9070278,-3.8999999999999995,-29.5,27.1,1.3,50.0,1764.0,114.4,0.0,7098.3,0.0
29714,876,28838,0,0,4606473,3832883,8439356,13.1,-3.8,27.9,6.1,76.0,1629.0,111.7,0.0,7124.3,0.0
5726,106,5620,0,0,2701186,2298218,4999404,-94.2,-117.8,-70.5,2.8,382.0,1737.0,113.4,0.0,7237.6,0.0
11319,187,11132,0,0,3154893,2979721,6134614,-95.3,-125.0,-67.2,1.3,331.0,1891.0,125.5,0.0,7216.9,0.0
25341,406,24935,0,0,4506967,3952140,8459107,-9.0,-45.0,15.0,6.1,75.0,1717.0,147.9,0.0,7154.8,0.0
23204,953,22251,0,0,4357454,3974989,8332443,-18.9,-48.2,7.800000000000001,3.6,254.0,1567.0,130.4,0.0,7152.1,0.0
34742,1735,33007,0,0,4781998,4297873,9079871,26.7,-0.5000000000000004,49.5,17.6,0.0,1401.0,124.4,0.0,7132.299999999999,0.0
25620,381,25239,0,0,4637438,4111945,8749383,-26.6,-65.1,10.0,3.8,101.0,1887.0,148.6,0.0,7156.4,0.0
13241,116,13125,0,0,4265559,3926953,8192512,-56.1,-81.1,-37.8,34.800000000000004,1322.0,1098.0,97.1,0.0,7183.2,0.0
