service_date,day_type,bus,rail_boardings,total_rides
09/26/2016,W,884989,787408,1672397
09/27/2016,W,889769,795780,1685549
09/28/2016,W,855499,787727,1643226
09/29/2016,W,870533,799130,1669663
09/30/2016,W,889641,787112,1676753
10/01/2016,A,511504,445272,956776
10/02/2016,U,391845,351589,743434
10/03/2016,W,912435,775906,1688341
10/04/2016,W,919088,799529,1718617
10/05/2016,W,915987,815309,1731296
10/06/2016,W,858960,817595,1676555
10/07/2016,W,888731,877814,1766545
10/08/2016,A,537610,546072,1083682
10/09/2016,U,368515,528189,896704
10/10/2016,W,714940,708958,1423898
10/11/2016,W,884539,805839,1690378
10/12/2016,W,847394,785404,1632798
10/13/2016,W,896918,828891,1725809
10/14/2016,W,892797,818230,1711027
10/15/2016,A,542187,535567,1077754
10/16/2016,U,385574,403090,788664
10/17/2016,W,890736,791317,1682053
10/18/2016,W,901884,810090,1711974
10/19/2016,W,895104,807016,1702120
10/20/2016,W,880209,812195,1692404
10/21/2016,W,867704,800137,1667841
10/22/2016,A,533242,566999,1100241
10/23/2016,U,388470,366503,754973
10/24/2016,W,869861,779618,1649479
10/25/2016,W,876768,801123,1677891
10/26/2016,W,824006,782126,1606132
10/27/2016,W,892963,822190,1715153
10/28/2016,W,894311,918735,1813046
10/29/2016,A,539098,627116,1166214
10/30/2016,U,377290,446582,823872
10/31/2016,W,860741,797545,1658286
11/01/2016,W,931276,815318,1746594
11/02/2016,W,866812,842885,1709697
11/03/2016,W,919828,891357,1811185
11/04/2016,W,798901,1146516,1945417
11/05/2016,A,536579,531687,1068266
11/06/2016,U,406215,380648,786863
11/07/2016,W,887002,809878,1696880
11/08/2016,W,880506,791870,1672376
11/09/2016,W,865500,817596,1683096
11/10/2016,W,842332,807250,1649582
11/11/2016,W,715260,721083,1436343
11/12/2016,A,500583,474411,974994
11/13/2016,U,369986,338339,708325
11/14/2016,W,862939,775439,1638378
11/15/2016,W,881225,797235,1678460
11/16/2016,W,884662,801320,1685982
11/17/2016,W,873693,811240,1684933
11/18/2016,W,819907,792361,1612268
11/19/2016,A,477472,501156,978628
11/20/2016,U,345895,315179,661074
11/21/2016,W,844666,758214,1602880
11/22/2016,W,837828,756704,1594532
11/23/2016,W,661576,624827,1286403
11/24/2016,U,266241,219875,486116
11/25/2016,W,496285,411245,907530
11/26/2016,A,441384,383042,824426
11/27/2016,U,343504,302029,645533
11/28/2016,W,801243,720824,1522067
11/29/2016,W,871577,771348,1642925
11/30/2016,W,852623,768149,1620772
12/01/2016,W,885401,779287,1664688
12/02/2016,W,882063,780569,1662632
12/03/2016,A,517756,456762,974518
12/04/2016,U,333825,312904,646729
12/05/2016,W,841336,735184,1576520
12/06/2016,W,859470,745095,1604565
12/07/2016,W,831766,745626,1577392
12/08/2016,W,790418,724726,1515144
12/09/2016,W,806718,730968,1537686
12/10/2016,A,472855,424387,897242
12/11/2016,U,309743,291688,601431
12/12/2016,W,787062,702745,1489807
12/13/2016,W,785276,714038,1499314
12/14/2016,W,734884,688959,1423843
12/15/2016,W,617119,624213,1241332
12/16/2016,W,744691,690845,1435536
12/17/2016,A,445779,394366,840145
12/18/2016,U,270767,253184,523951
12/19/2016,W,650356,607020,1257376
12/20/2016,W,758686,668762,1427448
12/21/2016,W,770713,665402,1436115
12/22/2016,W,747188,635174,1382362
12/23/2016,W,676407,516584,1192991
12/24/2016,A,391140,253926,645066
